NB: I medicinali carenti, per i quali il Titolare AIC non abbia provveduto a comunicare la data effettiva di fine carenza, continueranno ad essere presenti nella “Lista dei farmaci temporaneamente carenti”, anche oltre la “data di fine presunta” inizialmente comunicata e indicata nella presente lista;;;;;;;;;;;;
Elenco dei farmaci carenti aggiornato al 06/11/2025;;;;;;;;;;;;
Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilità;Codice ATC
RAXAR;039200035;DOMPERIDONE;""" 10 MG COMPRESSE ORODISPERSIBILI "" 30 COMPRESSE IN BLISTER PVC/PVDC/AL";EG S.P.A.;17/11/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A03FA03
RAYALDEE;047870011;CALCIFEDIOL;"""30 MICROGRAMMI CAPSULA MOLLE A RILASCIO PROLUNGATO"" 30 CAPSULE IN FLACONE HDPE";VIFOR FRESENIUS MEDICAL CARE RENAL PHARMA FRANCE;06/05/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A11CC06
REBIF;034091177;INTERFERONE BETA-1A;8,8MCG(2,4 M.UI)22 MCG(6 M.UI)-SOL.IN-USO SC-PENNA PRER.0.2 ML(12M.UI/ML)+0,5ML(12M.UI/ML)-CONF.INIZ.TRATT:6 PENNE PRER.8.8MCG E 6 PENNE PRER.22MCG;MERCK EUROPE B.V.;01/01/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L03AB07
RECOMBINATE;028687010;OCTOCOG ALFA;"""250 U.I./10 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE"" 1 FLACONCINO POLVERE + 1 FLACONCINO SOLVENTE CON DISPOSITIVO DI RICOSTITUZIONE SENZA AGO";BAXALTA INNOVATIONS GMBH;01/04/2018;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02BD02
RECTODELT;047435021;PREDNISONE;"""100 MG SUPPOSTE"" 4 SUPPOSTE IN LAMINATO PVC/PE";MIBE PHARMA ITALIA S.R.L.;01/06/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;H02AB07
RECTODELT;047435033;PREDNISONE;"""100 MG SUPPOSTE"" 6 SUPPOSTE IN LAMINATO PVC/PE";MIBE PHARMA ITALIA S.R.L.;01/06/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;H02AB07
RECTODELT;047435019;PREDNISONE;"""100 MG SUPPOSTE"" 2 SUPPOSTE IN LAMINATO PVC/PE";MIBE PHARMA ITALIA S.R.L.;30/06/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;H02AB07
REDOXIN C;025116017;ACIDO ASCORBICO;"""500 MG/5 ML SOLUZIONE INIETTABILE"" 3 FIALE";BAYER S.P.A.;01/08/2011;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A11GA01
REFACTO AF;034421014;MOROCTOCOG ALFA;"""250 UI POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE"" 1 FLACONE POLVERE + 1 FLACONE SOLVENTE 4 ML + ACCESSORI USO ENDOVENOSO";PFIZER EUROPE MA EEIG;28/04/2017;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02BD02
REFACTO AF;034421026;MOROCTOCOG ALFA;"""500 UI POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE"" 1 FLACONE POLVERE + 1 FLACONE SOLVENTE 4 ML + ACCESSORI USO ENDOVENOSO";PFIZER EUROPE MA EEIG;18/05/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02BD02
REFACTO AF;034421091;MOROCTOCOG ALFA;250 IU POLVE SOLV PER SOLUZ INIETT IN SIR PRER-USO END-1 SIR.PRERIEMP.-POL.250IU-SOLV.4ML1 SIR.PRER.+1STANTUFFO+1APPXINFUS STERILE+2TAMP ALCOL+1CER+1G;PFIZER EUROPE MA EEIG;30/10/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02BD02
RELISTOR;038600033;METILNALTREXONE;"""12MG/0,6ML SOLUZIONE PER INIEZIONE-USO SOTTOCUTANEO- FLACONCINO(VETRO)0,6ML"" (20MG/ML)  7 FLAC.+ 7 SIRINGHE STERILI+ 14 SALVIETTINE  ALCOL IMBEVUTE";BAUSCH HEALTH IRELAND LIMITED;16/08/2024;;No;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;A06AH01
RELVAR ELLIPTA;043154020;FLUTICASONE FUROATO + VILANTEROLO TRIFENATATO;92 MICROGRAMMI/22 MICROGRAMMI - POLVERE PER INALAZIONE, PRE-DOSATA - USO INALATORIO - BLISTER (ALU) - 1 INALATORE X 30 DOSI;GLAXOSMITHKLINE TRADING SERVICES LIMITED;06/10/2025;19/11/2025;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;R03AK10
RENAGEL;034676080;SEVELAMER;"""800 MG COMPRESSE RIVESTITE CON FILM"" 180 COMPRESSE IN FLACONE USO ORALE";SANOFI WINTHROP INDUSTRIE;14/07/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;V03AE02
RENVELA;039480090;SEVELAMER;0,8 G - POLVERE PER SOSPENSIONE ORALE - USO ORALE - BUSTINA (EAA/PET/LDPE/ALU) - 90 BUSTINE (CON CUCCHIAIO DOSATORE);SANOFI WINTHROP INDUSTRIE;30/11/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;C NON NEGOZIATA;V03AE02
REOMAX;021033028;ACIDO ETACRINICO SALE SODICO;IV 1 FIALA 20 ML 50 MG;BIOINDUSTRIA LABORATORIO ITALIANO MEDICINALI S.P.A.;01/07/2025;31/12/2025;No;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DELL'ASSISTITO;C03CC01
REPAGLINIDE ACCORD;041890029;REPAGLINIDE;"""0.5 MG - COMPRESSA - USO ORALE - BLISTER (ALU/ALU)"" 90 COMPRESSE";ACCORD HEALTHCARE, S.L.U.;01/02/2026;;Sì;Motivi commerciali;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BX02
REPAGLINIDE DOC GENERICI;039769031;REPAGLINIDE;"""2 MG COMPRESSE"" 90 COMPRESSE IN BLISTER AL/AL";DOC GENERICI SRL;31/10/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BX02
REPAGLINIDE DOC GENERICI;039769029;REPAGLINIDE;"""1 MG COMPRESSE"" 90 COMPRESSE IN BLISTER AL/AL";DOC GENERICI SRL;31/10/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BX02
REPAGLINIDE DOC GENERICI;039769017;REPAGLINIDE;"""0,5 MG COMPRESSE"" 90 COMPRESSE IN BLISTER AL/AL";DOC GENERICI SRL;28/02/2026;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BX02
REPAGLINIDE MYLAN GENERICS;039796014;REPAGLINIDE;""" 2 MG COMPRESSE "" 90 COMPRESSE IN BLISTER PA/ALL/PVC/-AL";MYLAN S.P.A.;01/09/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BX02
REPAGLINIDE MYLAN GENERICS;039796026;REPAGLINIDE;"""0,5MG COMPRESSE "" 90 COMPRESSE IN BLISTER PA/ALL/PVC-AL";MYLAN S.P.A.;20/12/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BX02
REPARILEXIN;020762035;ESCINA;"""40 MG COMPRESSE RIVESTITE"" 30 COMPRESSE";Viatris Healthcare Limited;30/12/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;C05CX
REQUIP;032261063;ROPINIROLO;"""0,25 mg compresse rivestite con film»  21 compresse in blister Pvc/Pe/PVdc-Al/carta";LABORATOIRE GLAXOSMITHKLINE;10/02/2025;;No;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;N04BC04
REQUIP;032261101;ROPINIROLO;"""0,5 mg compresse rivestite con film» 21  compresse in blister Pvc/Pe/PVdc-Al/carta";LABORATOIRE GLAXOSMITHKLINE;09/09/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BC04
RETACRIT;038381137;EPOETINA ZETA;"""8.000 UI/0,8 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 0,8 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381113;EPOETINA ZETA;"""6.000 UI/0,6 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 0,6 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381099;EPOETINA ZETA;"""5.000 UI/0,5 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 0,5 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381190;EPOETINA ZETA;"""40.000 UI/1,0 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 1,0 ML (40.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381075;EPOETINA ZETA;"""4.000 UI/0,4 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 0,4 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381188;EPOETINA ZETA;"""30.000 UI/0,75 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 0,75 ML (40.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381051;EPOETINA ZETA;"""3.000 UI/0,9 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 0,9 ML (3.333 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381176;EPOETINA ZETA;"""20.000 UI/0,5 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 0,5 ML (40.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381036;EPOETINA ZETA;"""2.000 UI/0,6 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 0,6 ML (3.333 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381265;EPOETINA ZETA;1.000 IU/0,3 ML - SOLUZIONE INIETTABILE- USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO 0.3 ML (3.333 IU/ML) - 1;PFIZER EUROPE MA EEIG;18/05/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381303;EPOETINA ZETA;3.000 IU/0,9 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO 0.9 ML (3.333 IU/ML) - 1 SIRINGA PRERIEMPITA;PFIZER EUROPE MA EEIG;30/08/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381341;EPOETINA ZETA;5.000 IU/0,5 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO 0.5 ML (10.000 IU/ML) - 1 SIRINGA PRERIEMPITA;PFIZER EUROPE MA EEIG;10/07/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381366;EPOETINA ZETA;6.000 IU/0,6 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO 0.6 ML (10.000 IU/ML) - 1 SIRINGA PRERIEMPITA;PFIZER EUROPE MA EEIG;03/07/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381428;EPOETINA ZETA;20.000 IU/0,5 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO 0,5 ML (40.000 IU/ML) - 1;PFIZER EUROPE MA EEIG;18/03/2019;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381430;EPOETINA ZETA;30.000 IU/0,75 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO 0,75 ML (40.000 IU/ML) - 1 SIRINGA PRERIEMPITA;PFIZER EUROPE MA EEIG;19/10/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381442;EPOETINA ZETA;40.000 IU/1,0 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO 1,0 ML (40.000 IU/ML) - 1 SIRINGA PRERIEMPITA;PFIZER EUROPE MA EEIG;25/09/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381152;EPOETINA ZETA;"""10.000 UI/1,0 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) 1,0 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381012;EPOETINA ZETA;"""1.000 UI/0,3 ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO SIRINGA PRERIEMPITA (VETRO) 0,3 ML(3.333 UI/ML)"" 1 SIRINGA PRERIEMPITA";PFIZER EUROPE MA EEIG;12/10/2016;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381327;EPOETINA ZETA;4.000 IU/0,4 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO 0.4 ML (10.000 IU/ML) - 1 SIRINGA PRERIEMPITA;PFIZER EUROPE MA EEIG;30/05/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381404;EPOETINA ZETA;10.000 IU/1,0 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO 1,0 ML (10.000 IU/ML) - 1 SIRINGA PRERIEMPITA;PFIZER EUROPE MA EEIG;18/06/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381721;EPOETINA ZETA;20.000 IU/0,5 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 0,5 ML (40.000 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;31/07/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
RETACRIT;038381758;EPOETINA ZETA;30.000 IU/0,75 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 0,75 ML (40.000 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;30/11/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
RETACRIT;038381784;EPOETINA ZETA;40.000 IU/1,0 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 1,0 ML (40.000 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;30/09/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
RETACRIT;038381556;EPOETINA ZETA;1.000 IU/0,3 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 0,3 ML (3.333 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;15/10/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al MMG. Sono autorizzati e commercializzati in Italia medicinali con medesimo principio attivo, forma farmaceutica, via di somministrazione, modalità di rilascio, dosaggio, e indicazioni terapeutiche ma numero di unità posologiche e dosi unitarie differente.;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381695;EPOETINA ZETA;10.000 IU/1,0 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 1,0 ML (10.000 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;07/03/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al MMG. Sono autorizzati e commercializzati in Italia medicinali con medesimo principio attivo, forma farmaceutica, via di somministrazione, modalità di rilascio, dosaggio, e indicazioni terapeutiche ma numero di unità posologiche e dosi unitarie differente.;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381671;EPOETINA ZETA;8.000 IU/0,8 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 0,8 ML (10.000 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;01/12/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al MMG. Sono autorizzati e commercializzati in Italia medicinali con medesimo principio attivo, forma farmaceutica, via di somministrazione, modalità di rilascio, dosaggio, e indicazioni terapeutiche ma numero di unità posologiche e dosi unitarie differente.;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381657;EPOETINA ZETA;6.000 IU/0,6 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 0,6 ML (10.000 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;13/03/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al MMG. Sono autorizzati e commercializzati in Italia medicinali con medesimo principio attivo, forma farmaceutica, via di somministrazione, modalità di rilascio, dosaggio, e indicazioni terapeutiche ma numero di unità posologiche e dosi unitarie differente.;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381632;EPOETINA ZETA;5.000 IU/0,5 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 0,5 ML (10.000 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;04/06/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al MMG. Sono autorizzati e commercializzati in Italia medicinali con medesimo principio attivo, forma farmaceutica, via di somministrazione, modalità di rilascio, dosaggio, e indicazioni terapeutiche ma numero di unità posologiche e dosi unitarie differente.;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381618;EPOETINA ZETA;4.000 IU/0,4 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 0,4 ML (10.000 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;15/06/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al MMG. Sono autorizzati e commercializzati in Italia medicinali con medesimo principio attivo, forma farmaceutica, via di somministrazione, modalità di rilascio, dosaggio, e indicazioni terapeutiche ma numero di unità posologiche e dosi unitarie differente.;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381594;EPOETINA ZETA;3.000 IU/0,9 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 0,9 ML (3.333 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;01/03/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al MMG. Sono autorizzati e commercializzati in Italia medicinali con medesimo principio attivo, forma farmaceutica, via di somministrazione, modalità di rilascio, dosaggio, e indicazioni terapeutiche ma numero di unità posologiche e dosi unitarie differente.;;A TOTALE CARICO DEL SSN.;B03XA01
RETACRIT;038381570;EPOETINA ZETA;2.000 IU/0,6 ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON PROTEZIONE DELL''AGO NEEDLE-TRAP - 0,6 ML (3.333 IU/ML) - 6 SIRINGHE PRERIEMPITE;PFIZER EUROPE MA EEIG;15/06/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al MMG. Sono autorizzati e commercializzati in Italia medicinali con medesimo principio attivo, forma farmaceutica, via di somministrazione, modalità di rilascio, dosaggio, e indicazioni terapeutiche ma numero di unità posologiche e dosi unitarie differente.;;A TOTALE CARICO DEL SSN.;B03XA01
RETSEVMO;049358017;SELPERCATINIB;40 MG - CAPSULA RIGIDA - USO ORALE - FLACONE (HDPE) - 60 CAPSULE;ELI LILLY NEDERLAND B.V.;17/06/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01EX22
