codice_aic;principio_attivo;quantita;unita_misura
001440078;CAFFEINA;;
001440078;ACIDO ACETILSALICILICO;;
001440078;PARACETAMOLO;;
001442019;BORNILE ACETATO/BENZILE BENZOATO/EUCALIPTOLO/MENTOLO/CANFORA/LINALILE ACETATO/FITOTERAPICI;;
001442021;N.D.;0;N.D.
001442033;N.D.;0;N.D.
001460017;N.D.;0;N.D.
001460029;N.D.;0;N.D.
001460031;LEVOCARNITINA;;
001463013;N.D.;0;N.D.
001463025;N.D.;0;N.D.
001463037;COMPLESSO VITAMINICO;;
001481011;N.D.;0;N.D.
001500014;ACIDO ASCORBICO;;
001500026;ACIDO ASCORBICO;;
001500038;ACIDO ASCORBICO;;
001500040;ACIDO ASCORBICO;;
001500053;ACIDO ASCORBICO;;
001500065;ACIDO ASCORBICO;;
001500077;ACIDO ASCORBICO;;
001500089;ACIDO ASCORBICO;;
001500091;ACIDO ASCORBICO;;
001500103;ACIDO ASCORBICO;;
001500115;ACIDO ASCORBICO;;
001500127;ACIDO ASCORBICO;;
001500139;ACIDO ASCORBICO;;
001500141;ACIDO ASCORBICO;;
001500154;ACIDO ASCORBICO;;
001510015;BILE BOVINA ESTRATTO/FITOTERAPICI;;
001520016;COMPLESSO VITAMINICO;;
001520028;COMPLESSO VITAMINICO;;
001537012;TIOPENTALE SODICO;500;MG
001537012;TIOPENTALE SODICO;500;milligrammi
001537024;N.D.;0;N.D.
001537036;N.D.;0;N.D.
001557014;CIANOCOBALAMINA;;
001557026;CIANOCOBALAMINA;;
001569019;PARACETAMOLO/ACIDO ACETILSALICILICO/CAFFEINA;;
001569021;PARACETAMOLO/ACIDO ACETILSALICILICO/CAFFEINA;;
001569033;PARACETAMOLO/ACIDO ACETILSALICILICO/CAFFEINA;;
001569045;PARACETAMOLO/ACIDO ACETILSALICILICO/CAFFEINA;;
001569058;PARACETAMOLO/ACIDO ACETILSALICILICO/CAFFEINA;;
001569060;PARACETAMOLO/ACIDO ACETILSALICILICO/CAFFEINA;;
001569072;PARACETAMOLO/ACIDO ACETILSALICILICO/CAFFEINA;;
001578018;CROTAMITONE;10;percent
001578020;N.D.;0;N.D.
001585013;SULFOGUAIACOLO/DESTROMETORFANO/EUCALIPTO;;
001585025;SULFOGUAIACOLO/DESTROMETORFANO/EUCALIPTO;;
001585037;N.D.;0;N.D.
001585049;N.D.;0;N.D.
001585052;SULFOGUAIACOLO/DESTROMETORFANO/EUCALIPTO;45;grammi
001585064;SULFOGUAIACOLO/DESTROMETORFANO/EUCALIPTO;;
001589011;N.D.;0;N.D.
001634017;N.D.;0;N.D.
001635010;N.D.;0;N.D.
001635022;N.D.;0;N.D.
001635034;ACIDO ASCORBICO/SULMARINA;;
001635046;ACIDO ASCORBICO/SULMARINA;;
001635059;ACIDO ASCORBICO/SULMARINA;;
001635061;ACIDO ASCORBICO/SULMARINA;;
001635073;ACIDO ASCORBICO/SULMARINA;;
001635085;ACIDO ASCORBICO/SULMARINA;;
001635097;N.D.;0;N.D.
001635109;N.D.;0;N.D.
001635111;N.D.;0;N.D.
001635123;N.D.;0;N.D.
001635135;N.D.;0;N.D.
